UNIX_TIMESTAMP(ts)	counts
1387625874	-95
1387625876	-99
1387625879	-101
1387625881	-106
1387625883	-92
1387625885	-99
1387625888	-123
1387625890	-124
1387625893	-136
1387625895	-148
1387625897	-127
1387625900	-128
1387625902	-101
1387625904	-118
1387625907	-124
1387625909	-123
1387625912	-123
1387625914	-138
1387625916	-123
1387625919	-122
1387625921	-124
1387625924	-124
1387625926	-125
1387625928	-141
1387625930	-143
1387625933	-140
1387625935	-135
1387625938	-126
1387625944	-126
1387625946	-126
1387625948	-126
1387625950	-126
1387625953	-127
1387625955	-127
1387625958	-133
1387625960	-129
1387625962	-129
1387625964	-129
1387625967	-129
1387625969	-130
1387625972	-132
1387625974	-104
1387625977	-132
1387625979	-136
1387625983	-141
1387625985	-132
1387625988	-131
1387625990	-138
1387625992	-135
1387625995	-137
1387625997	-155
1387625999	-140
1387626001	-163
1387626004	-131
1387626006	-132
1387626009	-132
1387626011	-195
1387626013	-128
1387626016	-134
1387626018	-157
1387626020	-178
1387626023	-183
1387626025	-118
1387626027	-133
1387626030	-148
1387626032	-78
1387626034	-104
1387626037	-96
1387626039	-109
1387626041	-147
1387626043	-160
1387626046	-177
1387626048	-207
1387626052	-56
1387626054	-161
1387626056	-103
1387626059	-175
1387626061	-141
1387626064	-143
1387626066	-116
1387626068	-146
1387626070	-143
1387626073	-134
1387626075	-141
1387626078	-136
1387626080	-124
1387626082	-75
1387626084	-140
1387626087	-109
1387626090	-117
1387626093	-131
1387626096	-119
1387626098	-133
1387626100	-158
1387626103	-80
1387626105	-120
1387626107	-97
1387626110	-47
1387626112	-57
1387626114	-55
1387626117	-31
1387626119	5
1387626121	17
1387626123	31
1387626128	-3
1387626130	-44
1387626133	-301
1387626136	-371
1387626138	-372
1387626142	-339
1387626144	-371
1387626147	-350
1387626149	-371
1387626151	-214
1387626153	-160
1387626156	-159
1387626158	-158
1387626161	-158
1387626163	-158
1387626165	-158
1387626168	-158
1387626170	-158
1387626172	-158
1387626175	-158
1387626177	-158
1387626180	-158
1387626182	-158
1387626184	-158
1387626186	-158
1387626189	-158
1387626191	-158
1387626193	-158
1387626197	-158
1387626200	-158
1387624658	0
1387624675	0
1387624680	0
1387624682	0
1387624692	0
1387624697	0
1387624699	0
1387624704	0
1387624706	0
1387719955	0
1387719957	0
1387719960	0
1387719962	0
1387719965	0
1387719967	0
1387719969	0
1387719972	0
1387719974	0
