UNIX_TIMESTAMP(ts)	x	y	z
1387625844	0.0625	0.0625	0.875
1387625846	0.0625	0.03125	0.9375
1387625849	0.0625	0.09375	0.90625
1387625853	0.0625	0.0625	0.8125
1387625856	0	-0.03125	0.84375
1387625858	0.0625	0.03125	0.8125
1387625861	0.0625	0.03125	0.875
1387625864	0.0625	0.03125	0.875
1387625866	0.0625	0.0625	0.875
1387625869	0.0625	0.03125	0.90625
1387625872	0.0625	0	0.875
1387625875	0.0625	-0.0625	0.90625
1387625878	0.09375	0.03125	0.8125
1387625880	0.09375	0.03125	0.84375
1387625883	0.09375	0.03125	0.84375
1387625886	0.03125	0.03125	0.84375
1387625889	0.03125	0.03125	0.84375
1387625892	0.0625	-0.0625	0.9375
1387625895	0.03125	0.03125	0.90625
1387625897	0.125	-0.0625	0.875
1387625900	0.125	-0.0625	0.875
1387625903	0.03125	-0.0625	0.875
1387625906	0.03125	0.03125	0.84375
1387625909	0.0625	0	0.8125
1387625911	0.0625	0.03125	0.90625
1387625914	0.15625	-0.09375	0.90625
1387625917	0.03125	-0.0625	0.875
1387625920	0.15625	-0.0625	0.84375
1387625922	0.03125	-0.03125	0.84375
1387625925	0.09375	0	0.84375
1387625928	0.0625	0.0625	0.90625
1387625930	0.03125	0	0.875
1387625933	0.03125	0.0625	0.875
1387625936	0.125	-0.09375	0.96875
1387625939	-0.09375	-0.0625	0.75
1387625941	0.09375	-0.09375	0.9375
1387625945	0	-0.1875	0.78125
1387625947	0.125	-0.0625	0.875
1387625950	0.09375	-0.09375	0.9375
1387625953	0.09375	-0.125	0.96875
1387625955	0.0625	-0.0625	0.875
1387625959	0.0625	-0.09375	0.96875
1387625962	-0.03125	0	0.75
1387625964	0.09375	-0.15625	0.90625
1387625967	0.09375	-0.125	0.875
1387625970	0.09375	-0.03125	0.9375
1387625972	0.125	-0.03125	0.875
1387625977	0	-0.125	0.8125
1387625979	0.0625	-0.125	0.75
1387625985	0.03125	-0.125	0.90625
